timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration
2024-06-03T00:48:09.387778Z,10.0.0.102,103.86.99.100,50314,80,TCP,157890,182180412,2232.644126
2024-06-03T09:06:00.688363Z,10.0.0.108,185.220.101.7,42340,443,TCP,154032,207643201,517.18336
2024-06-03T03:25:53.302079Z,10.0.0.101,45.155.205.244,48633,443,TCP,45357,41860228,858.776423
2024-06-03T09:16:10.237299Z,10.0.0.107,185.220.101.7,44360,443,TCP,103337,113607939,1160.09089
2024-06-03T07:47:46.658232Z,10.0.0.110,103.86.99.100,36457,8080,TCP,178732,179042194,661.880761
2024-06-03T02:39:59.383483Z,10.0.0.107,91.189.91.12,46441,443,TCP,245854,209793694,2000.676339
2024-06-03T11:01:36.902775Z,10.0.0.101,45.155.205.244,1787,22,TCP,54508,76254843,370.337899
2024-06-03T09:56:34.513812Z,10.0.0.106,185.220.101.7,29673,443,TCP,387719,384957640,2437.473841
2024-06-03T09:08:09.265961Z,10.0.0.108,45.155.205.244,18146,443,TCP,112007,84559994,3313.275456
2024-06-03T04:53:11.960422Z,10.0.0.102,185.220.101.7,43415,8080,TCP,482913,433780370,549.797135
2024-06-03T06:46:06.589016Z,10.0.0.103,103.86.99.100,24619,443,TCP,419469,499847221,1379.684964
2024-06-03T02:05:22.503424Z,10.0.0.110,91.189.91.12,6348,443,TCP,64590,91643122,2946.360692
2024-06-03T08:06:57.474892Z,10.0.0.103,91.189.91.12,44604,8080,TCP,43254,58973638,1223.706701
2024-06-03T06:51:22.791287Z,10.0.0.107,185.220.101.7,17779,21,TCP,138837,147321129,704.741605
2024-06-03T11:40:35.170084Z,10.0.0.109,45.155.205.244,1573,8080,TCP,59118,59210003,667.792903
2024-06-03T03:06:50.111149Z,10.0.0.109,185.220.101.7,63436,8080,TCP,103488,105829389,1662.161964
2024-06-03T10:37:21.243913Z,10.0.0.101,91.189.91.12,39837,80,TCP,530772,421277794,574.171505
2024-06-03T11:14:27.053112Z,10.0.0.103,45.155.205.244,40654,443,TCP,477657,660430617,3572.556093
2024-06-03T00:33:09.790572Z,10.0.0.102,185.220.101.7,61126,80,TCP,39075,31688052,871.239115
2024-06-03T08:15:39.371592Z,10.0.0.104,91.189.91.12,29809,8080,TCP,204616,243659512,623.083435
2024-06-03T00:09:15.400183Z,10.0.0.104,45.155.205.244,43433,22,TCP,354830,293782315,1960.044347
2024-06-03T00:25:54.265912Z,10.0.0.106,185.220.101.7,41512,21,TCP,521281,433795546,2035.748327
2024-06-03T00:35:06.974162Z,10.0.0.106,103.86.99.100,6409,22,TCP,556202,498925260,416.043227
2024-06-03T06:41:52.678096Z,10.0.0.102,185.220.101.7,5527,8080,TCP,122699,102460046,1735.567725
2024-06-03T05:58:16.535976Z,10.0.0.104,103.86.99.100,37399,443,TCP,35528,34489427,1000.682601
2024-06-03T09:33:26.849083Z,10.0.0.104,91.189.91.12,65386,21,TCP,205553,248938972,2917.985136
2024-06-03T01:37:04.688428Z,10.0.0.101,185.220.101.7,49994,21,TCP,70040,95130731,2978.096197
2024-06-03T01:29:17.408102Z,10.0.0.103,103.86.99.100,14740,443,TCP,483622,483545966,760.969657
2024-06-03T10:54:07.233793Z,10.0.0.104,91.189.91.12,20761,21,TCP,34133,37104525,1367.54838
2024-06-03T00:12:29.482311Z,10.0.0.105,91.189.91.12,30039,443,TCP,40999,29756480,3323.18947
2024-06-03T10:52:28.927348Z,10.0.0.101,45.155.205.244,10550,80,TCP,507603,364006982,317.641669
2024-06-03T00:51:25.215310Z,10.0.0.109,185.220.101.7,14976,443,TCP,233667,261402622,1327.681358
2024-06-03T10:50:39.795982Z,10.0.0.105,45.155.205.244,33407,80,TCP,97263,108331686,3479.297562
2024-06-03T05:37:47.030370Z,10.0.0.106,103.86.99.100,62493,8080,TCP,63682,52359441,1161.638522
2024-06-03T03:10:47.976877Z,10.0.0.110,91.189.91.12,38081,443,TCP,59406,68609967,1931.46196
2024-06-03T00:10:59.197943Z,10.0.0.109,103.86.99.100,13531,21,TCP,30821,28432977,307.139941
2024-06-03T03:42:27.638142Z,10.0.0.107,91.189.91.12,49214,443,TCP,116122,118109613,1108.408346
2024-06-03T09:17:25.580079Z,10.0.0.104,45.155.205.244,15325,8080,TCP,151063,108136184,443.612667
2024-06-03T06:43:31.206521Z,10.0.0.102,103.86.99.100,46926,8080,TCP,162494,236061722,416.447022
2024-06-03T02:33:00.088242Z,10.0.0.106,185.220.101.7,20014,21,TCP,280952,221378457,1135.853144
2024-06-03T09:30:44.940748Z,10.0.0.108,45.155.205.244,40949,80,TCP,84828,104636148,521.32273
2024-06-03T03:52:26.111264Z,10.0.0.109,91.189.91.12,20780,80,TCP,334859,384403266,1983.082365
2024-06-03T02:33:41.413557Z,10.0.0.102,91.189.91.12,59244,443,TCP,37235,35992790,687.251642
2024-06-03T06:21:17.974370Z,10.0.0.101,185.220.101.7,25699,80,TCP,221647,315913199,1745.604984
2024-06-03T08:04:39.737423Z,10.0.0.108,185.220.101.7,61060,443,TCP,151907,134075447,1401.193437
2024-06-03T03:13:39.998508Z,10.0.0.110,103.86.99.100,36895,21,TCP,457967,586535816,966.088346
2024-06-03T04:58:22.702620Z,10.0.0.104,91.189.91.12,27842,22,TCP,520442,426011527,437.063221
2024-06-03T00:15:32.769225Z,10.0.0.103,45.155.205.244,20865,21,TCP,104176,79920280,815.954664
2024-06-03T00:33:37.352142Z,10.0.0.106,45.155.205.244,54009,22,TCP,81338,67830417,890.035864
2024-06-03T04:28:03.325348Z,10.0.0.104,91.189.91.12,3451,80,TCP,39647,54723633,2489.917036
2024-06-03T01:33:31.570202Z,10.0.0.109,185.220.101.7,63196,22,TCP,530767,460750675,495.042747
2024-06-03T01:41:09.964480Z,10.0.0.102,45.155.205.244,38004,80,TCP,44905,49731977,584.533431
2024-06-03T09:16:03.298753Z,10.0.0.109,91.189.91.12,39598,21,TCP,68211,83472660,3087.193751
2024-06-03T02:25:11.152744Z,10.0.0.110,45.155.205.244,14546,443,TCP,224618,297653001,409.706326
2024-06-03T05:06:45.015063Z,10.0.0.106,103.86.99.100,49208,22,TCP,34664,26857407,2892.181119
2024-06-03T04:51:06.996034Z,10.0.0.107,45.155.205.244,31159,22,TCP,138086,100045945,775.657288
2024-06-03T06:46:08.358615Z,10.0.0.107,45.155.205.244,6391,443,TCP,350615,266178002,942.257235
2024-06-03T00:36:28.373531Z,10.0.0.110,185.220.101.7,51399,443,TCP,36920,26547431,570.690133
2024-06-03T02:40:00.261967Z,10.0.0.101,185.220.101.7,8709,443,TCP,35895,26231320,304.199947
2024-06-03T11:42:09.994262Z,10.0.0.110,45.155.205.244,29421,21,TCP,417787,537395231,569.175154
2024-06-03T03:10:45.525596Z,10.0.0.103,103.86.99.100,43572,8080,TCP,156556,151381747,2186.079844
